date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:33:34	4178639/4178639	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:22%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/series/suits.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/series/suits.jpg	(from http://briefnarrative.pythonanywhere.com/TV_series.html)
22:34:05	783858/783858	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/4.Thor.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/4.Thor.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:34:18	457676/457676	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/6.avengers.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/6.avengers.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:34:26	470724/470724	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/7.iron%20man%203.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/7.iron%20man%203.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:34:43	435527/435527	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/8.Thor%202.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/8.Thor%202.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:35:13	419783/419783	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/9.%20winter%20soldier.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/9.%20winter%20soldier.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:35:42	451268/451268	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/10.Guardian.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/10.Guardian.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:35:50	423335/423335	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/12.Ant-man.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/12.Ant-man.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:35:50	523834/523834	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:19%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/marvel/11.%20Ultron.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/marvel/11.%20Ultron.jpg	(from http://briefnarrative.pythonanywhere.com/MCU.html)
22:36:00	121128/121128	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:22%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/Artboard%201.1.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/Artboard%201.1.jpg	(from http://briefnarrative.pythonanywhere.com/Others.html)
22:36:36	295679/295679	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:22%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/Artboard%202.png.jpg.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/Artboard%202.png.jpg.png	(from http://briefnarrative.pythonanywhere.com/Others.html)
22:40:03	1694054/1694054	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/bacchu1.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/bacchu1.jpg	(from http://briefnarrative.pythonanywhere.com/Others.html)
22:40:22	1997263/1997263	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2020:47:22%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/Emnei%202.0-8%20final.png	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/Emnei%202.0-8%20final.png	(from http://briefnarrative.pythonanywhere.com/Others.html)
22:40:39	853982/853982	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/nazrul.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/nazrul.jpg	(from http://briefnarrative.pythonanywhere.com/Others.html)
22:40:47	1334684/1334684	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Aug%202021%2020:47:23%20GMT	http://briefnarrative.pythonanywhere.com/static/assets/typo/poddo.jpg	C:/Users/mahbu/Desktop/My_site/briefnarrative.pythonanywhere.com/static/assets/typo/poddo.jpg	(from http://briefnarrative.pythonanywhere.com/Others.html)
